Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
Good,No checking account,18,critical account,Radio/Television,1800,< 100 DM,1<=...<4 years,4,male: single,none,1<...<=2 years,car or other,24,none,own,2,skilled employee / official,1,Yes,Yes
Good,No checking account,24,delay in paying off in the past,Furniture/Equipment,4151,100<= ... < 500 DM,1<=...<4 years,2,male: single,none,2<...<=3 years,savings agreement/ life insurance,35,none,own,2,skilled employee / official,1,Yes,Yes
Good,0 <=...<200 DM,15,existing credits paid back duly till now,Repairs,2631,100<= ... < 500 DM,1<=...<4 years,3,female: divorced/separated/married,none,1<...<=2 years,real estate,25,none,own,1,unskilled - resident,1,Yes,Yes
Good,No checking account,21,existing credits paid back duly till now,Used car,5248,unknown/ no savings account,1<=...<4 years,1,male: single,none,2<...<=3 years,car or other,26,none,own,1,skilled employee / official,1,Yes,Yes
Good,0 <=...<200 DM,18,delay in paying off in the past,New car,2899,unknown/ no savings account,>=7years,4,male: single,none,>4years,car or other,43,none,own,1,skilled employee / official,2,Yes,Yes
Good,0 <=...<200 DM,18,delay in paying off in the past,Repairs,6204,< 100 DM,1<=...<4 years,2,male: single,none,>4years,real estate,44,none,own,1,unskilled - resident,2,No,Yes
Good,No checking account,12,existing credits paid back duly till now,Radio/Television,804,< 100 DM,>=7years,4,male: single,none,>4years,car or other,38,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,36,existing credits paid back duly till now,Radio/Television,3595,< 100 DM,>=7years,4,male: single,none,1<...<=2 years,car or other,28,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,36,critical account,Used car,5711,=>1000 DM,>=7years,4,male: single,none,1<...<=2 years,car or other,38,none,own,2,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,> 200 DM,15,existing credits paid back duly till now,Business,2687,< 100 DM,4<=...<7 years,2,male: single,none,>4years,savings agreement/ life insurance,26,none,rent,1,skilled employee / official,1,No,Yes
Good,< 0 DM,15,delay in paying off in the past,Furniture/Equipment,3643,< 100 DM,>=7years,1,female: divorced/separated/married,none,>4years,savings agreement/ life insurance,27,none,own,2,unskilled - resident,1,Yes,Yes
Good,No checking account,10,critical account,Furniture/Equipment,2146,< 100 DM,< 1 year,1,female: divorced/separated/married,none,2<...<=3 years,real estate,23,none,rent,2,skilled employee / official,1,Yes,Yes
Good,< 0 DM,10,existing credits paid back duly till now,Radio/Television,2315,< 100 DM,>=7years,3,male: single,none,>4years,real estate,52,none,own,1,unskilled - resident,1,Yes,Yes
Good,No checking account,5,existing credits paid back duly till now,Business,3448,< 100 DM,4<=...<7 years,1,male: single,none,>4years,real estate,74,none,own,1,unskilled - resident,1,Yes,Yes
Good,No checking account,15,existing credits paid back duly till now,Furniture/Equipment,2708,< 100 DM,< 1 year,2,male: single,none,2<...<=3 years,savings agreement/ life insurance,27,bank,own,2,unskilled - resident,1,Yes,Yes
Good,No checking account,11,critical account,New car,1393,< 100 DM,< 1 year,4,female: divorced/separated/married,none,>4years,car or other,35,none,own,2,management/ self-employed/highly qualified employee/ officer,1,Yes,Yes
Good,> 200 DM,10,existing credits paid back duly till now,Furniture/Equipment,1275,< 100 DM,< 1 year,4,female: divorced/separated/married,none,1<...<=2 years,savings agreement/ life insurance,23,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,9,existing credits paid back duly till now,Furniture/Equipment,1313,< 100 DM,>=7years,1,male: single,none,>4years,car or other,20,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,12,existing credits paid back duly till now,Radio/Television,1493,< 100 DM,< 1 year,4,female: divorced/separated/married,none,2<...<=3 years,car or other,34,none,own,1,skilled employee / official,2,Yes,Yes
Good,No checking account,22,existing credits paid back duly till now,Radio/Television,2675,500<= ... < 1000 DM,>=7years,3,male: single,none,>4years,car or other,40,none,own,1,skilled employee / official,1,Yes,Yes
Good,0 <=...<200 DM,9,existing credits paid back duly till now,Radio/Television,2118,< 100 DM,1<=...<4 years,2,male: single,none,1<...<=2 years,real estate,37,none,own,1,unskilled - resident,2,Yes,Yes
Good,No checking account,36,existing credits paid back duly till now,New car,909,500<= ... < 1000 DM,>=7years,4,male: single,none,>4years,savings agreement/ life insurance,36,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,12,critical account,Furniture/Equipment,1258,< 100 DM,< 1 year,2,female: divorced/separated/married,none,>4years,savings agreement/ life insurance,22,none,rent,2,unskilled - resident,1,Yes,Yes
Good,No checking account,15,all credits at this bank paid back duly,Radio/Television,1569,100<= ... < 500 DM,>=7years,4,male: single,none,>4years,car or other,34,bank,own,1,unskilled - resident,2,Yes,Yes
Good,No checking account,6,existing credits paid back duly till now,Used car,1236,500<= ... < 1000 DM,1<=...<4 years,2,male: single,none,>4years,savings agreement/ life insurance,50,none,rent,1,skilled employee / official,1,Yes,Yes
Good,No checking account,36,delay in paying off in the past,Furniture/Equipment,7678,500<= ... < 1000 DM,4<=...<7 years,2,female: divorced/separated/married,none,>4years,car or other,40,none,own,2,skilled employee / official,1,No,Yes
Good,No checking account,6,existing credits paid back duly till now,Repairs,660,500<= ... < 1000 DM,4<=...<7 years,2,male: married/widowed,none,>4years,real estate,23,none,rent,1,unskilled - resident,1,Yes,Yes
Good,No checking account,24,existing credits paid back duly till now,Furniture/Equipment,2835,500<= ... < 1000 DM,>=7years,3,male: single,none,>4years,savings agreement/ life insurance,53,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,24,existing credits paid back duly till now,Used car,2670,< 100 DM,>=7years,4,male: single,none,>4years,car or other,35,none,own,1,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,No checking account,12,all credits at this bank paid back duly,Retraining,3447,500<= ... < 1000 DM,1<=...<4 years,4,female: divorced/separated/married,none,2<...<=3 years,real estate,35,none,own,1,unskilled - resident,2,Yes,Yes
Good,No checking account,15,existing credits paid back duly till now,Radio/Television,3568,< 100 DM,>=7years,4,female: divorced/separated/married,none,1<...<=2 years,car or other,54,bank,rent,1,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,0 <=...<200 DM,21,critical account,Business,3652,< 100 DM,4<=...<7 years,2,male: single,none,2<...<=3 years,savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,Yes,Yes
Good,< 0 DM,24,existing credits paid back duly till now,Radio/Television,3660,< 100 DM,1<=...<4 years,2,female: divorced/separated/married,none,>4years,car or other,28,none,own,1,skilled employee / official,1,Yes,Yes
Good,> 200 DM,9,existing credits paid back duly till now,Radio/Television,1126,100<= ... < 500 DM,>=7years,2,male: divorced/separated,none,>4years,real estate,49,none,own,1,skilled employee / official,1,Yes,Yes
Good,> 200 DM,6,delay in paying off in the past,Radio/Television,683,< 100 DM,< 1 year,2,female: divorced/separated/married,none,<= 1 year,savings agreement/ life insurance,29,bank,own,1,skilled employee / official,1,Yes,Yes
Good,> 200 DM,12,existing credits paid back duly till now,Furniture/Equipment,2251,< 100 DM,1<=...<4 years,1,female: divorced/separated/married,none,1<...<=2 years,car or other,46,none,own,1,unskilled - resident,1,Yes,Yes
Good,No checking account,12,existing credits paid back duly till now,Used car,4675,unknown/ no savings account,< 1 year,1,female: divorced/separated/married,none,>4years,car or other,20,none,rent,1,skilled employee / official,1,Yes,Yes
Good,0 <=...<200 DM,21,delay in paying off in the past,New car,2353,< 100 DM,1<=...<4 years,1,male: divorced/separated,none,>4years,savings agreement/ life insurance,47,none,own,2,skilled employee / official,1,Yes,Yes
Good,< 0 DM,21,existing credits paid back duly till now,Radio/Television,3357,=>1000 DM,< 1 year,4,female: divorced/separated/married,none,1<...<=2 years,car or other,29,bank,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,6,existing credits paid back duly till now,New car,672,< 100 DM,unemployed,1,female: divorced/separated/married,none,>4years,real estate,54,none,own,1,unemployed/ unskilled - non-resident,1,No,Yes
Good,< 0 DM,6,critical account,Radio/Television,338,500<= ... < 1000 DM,>=7years,4,male: single,none,>4years,car or other,52,none,own,2,skilled employee / official,1,Yes,Yes
Good,No checking account,9,existing credits paid back duly till now,Radio/Television,2697,< 100 DM,1<=...<4 years,1,male: single,none,1<...<=2 years,real estate,32,none,own,1,skilled employee / official,2,Yes,Yes
Good,No checking account,9,existing credits paid back duly till now,New car,2507,500<= ... < 1000 DM,>=7years,2,male: single,none,>4years,unknown / no property,51,none,for free,1,unskilled - resident,1,Yes,Yes
Good,No checking account,15,delay in paying off in the past,Radio/Television,1478,< 100 DM,1<=...<4 years,4,male: married/widowed,none,2<...<=3 years,real estate,33,bank,own,2,skilled employee / official,1,Yes,Yes
Good,No checking account,12,critical account,Education,3565,unknown/ no savings account,< 1 year,2,male: single,none,<= 1 year,savings agreement/ life insurance,37,none,own,2,unskilled - resident,2,Yes,Yes
Good,No checking account,15,existing credits paid back duly till now,Furniture/Equipment,2221,500<= ... < 1000 DM,1<=...<4 years,2,female: divorced/separated/married,none,>4years,car or other,20,none,rent,1,skilled employee / official,1,Yes,Yes
Good,No checking account,6,critical account,Radio/Television,1898,unknown/ no savings account,1<=...<4 years,1,male: single,none,1<...<=2 years,real estate,34,none,own,2,unskilled - resident,2,Yes,Yes
Good,0 <=...<200 DM,6,delay in paying off in the past,Business,1449,100<= ... < 500 DM,>=7years,1,male: divorced/separated,none,1<...<=2 years,car or other,31,bank,own,2,skilled employee / official,2,Yes,Yes
Good,No checking account,15,delay in paying off in the past,Furniture/Equipment,960,=>1000 DM,4<=...<7 years,3,female: divorced/separated/married,none,1<...<=2 years,savings agreement/ life insurance,30,none,own,2,skilled employee / official,1,Yes,Yes
Good,No checking account,36,existing credits paid back duly till now,Used car,8133,< 100 DM,1<=...<4 years,1,female: divorced/separated/married,none,1<...<=2 years,savings agreement/ life insurance,30,bank,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,9,existing credits paid back duly till now,Furniture/Equipment,2301,100<= ... < 500 DM,< 1 year,2,female: divorced/separated/married,none,>4years,savings agreement/ life insurance,22,none,rent,1,skilled employee / official,1,Yes,Yes
Good,No checking account,6,delay in paying off in the past,Business,1743,100<= ... < 500 DM,1<=...<4 years,1,male: single,none,1<...<=2 years,real estate,34,none,own,2,unskilled - resident,1,Yes,Yes
Good,0 <=...<200 DM,12,existing credits paid back duly till now,Furniture/Equipment,983,=>1000 DM,< 1 year,1,female: divorced/separated/married,none,>4years,real estate,19,none,rent,1,unskilled - resident,1,Yes,Yes
Good,No checking account,18,delay in paying off in the past,Radio/Television,2320,< 100 DM,unemployed,2,male: married/widowed,none,2<...<=3 years,real estate,34,none,own,2,skilled employee / official,1,Yes,Yes
Good,< 0 DM,12,all credits at this bank paid back duly,Retraining,339,< 100 DM,>=7years,4,male: married/widowed,none,<= 1 year,car or other,45,bank,own,1,unskilled - resident,1,Yes,Yes
Good,> 200 DM,24,existing credits paid back duly till now,Radio/Television,5152,< 100 DM,4<=...<7 years,4,male: single,none,1<...<=2 years,car or other,25,bank,own,1,skilled employee / official,1,Yes,Yes
Good,> 200 DM,24,existing credits paid back duly till now,Furniture/Equipment,3749,< 100 DM,< 1 year,2,female: divorced/separated/married,none,>4years,car or other,26,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,9,critical account,Radio/Television,3074,unknown/ no savings account,1<=...<4 years,1,male: single,none,1<...<=2 years,real estate,33,none,own,2,skilled employee / official,2,Yes,Yes
Bad,> 200 DM,9,existing credits paid back duly till now,Radio/Television,745,< 100 DM,1<=...<4 years,3,female: divorced/separated/married,none,1<...<=2 years,real estate,28,none,own,1,unskilled - resident,1,Yes,Yes
Good,No checking account,24,existing credits paid back duly till now,New car,1469,100<= ... < 500 DM,>=7years,4,male: married/widowed,none,>4years,real estate,41,none,rent,1,unskilled - resident,1,Yes,Yes
Good,< 0 DM,6,existing credits paid back duly till now,Furniture/Equipment,1374,< 100 DM,1<=...<4 years,1,male: single,none,1<...<=2 years,real estate,36,bank,own,1,unskilled - resident,1,No,Yes
Good,No checking account,6,all credits at this bank paid back duly,New car,783,unknown/ no savings account,1<=...<4 years,1,male: single,guarantor,1<...<=2 years,real estate,26,stores,own,1,unskilled - resident,2,Yes,Yes
Good,< 0 DM,21,existing credits paid back duly till now,Radio/Television,2606,< 100 DM,< 1 year,4,female: divorced/separated/married,none,>4years,savings agreement/ life insurance,28,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,No checking account,54,no credits taken,Used car,9436,unknown/ no savings account,1<=...<4 years,2,male: single,none,1<...<=2 years,savings agreement/ life insurance,39,none,own,1,unskilled - resident,2,Yes,Yes
Good,No checking account,12,critical account,Radio/Television,930,unknown/ no savings account,>=7years,4,male: single,none,>4years,real estate,65,none,own,4,skilled employee / official,1,Yes,Yes
Good,No checking account,48,critical account,Used car,2751,unknown/ no savings account,>=7years,4,male: single,none,2<...<=3 years,car or other,38,none,own,2,skilled employee / official,2,No,Yes
Good,No checking account,6,critical account,New car,250,=>1000 DM,1<=...<4 years,2,female: divorced/separated/married,none,1<...<=2 years,real estate,41,bank,own,2,unskilled - resident,1,Yes,Yes
Good,0 <=...<200 DM,24,existing credits paid back duly till now,New car,1201,< 100 DM,< 1 year,4,male: single,none,<= 1 year,savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,Yes,Yes
Good,< 0 DM,6,existing credits paid back duly till now,New car,662,< 100 DM,< 1 year,3,male: single,none,>4years,real estate,41,none,own,1,unskilled - resident,2,No,Yes
Good,No checking account,15,existing credits paid back duly till now,Used car,1300,unknown/ no savings account,>=7years,4,male: single,none,>4years,unknown / no property,45,bank,for free,1,skilled employee / official,2,Yes,Yes
Good,No checking account,24,all credits at this bank paid back duly,Business,1559,< 100 DM,4<=...<7 years,4,male: single,none,>4years,car or other,40,bank,own,1,skilled employee / official,1,No,Yes
Good,> 200 DM,12,existing credits paid back duly till now,Radio/Television,3016,< 100 DM,1<=...<4 years,3,male: married/widowed,none,<= 1 year,car or other,24,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,15,critical account,Radio/Television,1360,< 100 DM,1<=...<4 years,4,male: single,none,1<...<=2 years,savings agreement/ life insurance,31,none,own,2,skilled employee / official,1,Yes,Yes
Good,No checking account,6,no credits taken,New car,1204,100<= ... < 500 DM,1<=...<4 years,4,male: single,none,<= 1 year,unknown / no property,35,bank,rent,1,skilled employee / official,1,Yes,No
Good,No checking account,10,existing credits paid back duly till now,New car,1597,500<= ... < 1000 DM,1<=...<4 years,3,male: single,none,1<...<=2 years,unknown / no property,40,none,rent,1,unskilled - resident,2,Yes,No
Good,No checking account,12,existing credits paid back duly till now,Radio/Television,2073,100<= ... < 500 DM,1<=...<4 years,4,female: divorced/separated/married,co-applicant,1<...<=2 years,real estate,28,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,11,existing credits paid back duly till now,Business,2142,=>1000 DM,>=7years,1,male: divorced/separated,none,1<...<=2 years,real estate,28,none,own,1,skilled employee / official,1,No,Yes
Good,< 0 DM,10,critical account,Furniture/Equipment,2132,unknown/ no savings account,< 1 year,2,female: divorced/separated/married,co-applicant,2<...<=3 years,real estate,27,none,rent,2,skilled employee / official,1,Yes,No
Good,No checking account,10,existing credits paid back duly till now,New car,1546,< 100 DM,1<=...<4 years,3,male: single,none,1<...<=2 years,real estate,31,none,own,1,unskilled - resident,2,Yes,No
Good,No checking account,24,critical account,New car,1287,=>1000 DM,>=7years,4,female: divorced/separated/married,none,>4years,real estate,37,none,own,2,skilled employee / official,1,No,Yes
Good,No checking account,10,existing credits paid back duly till now,New car,1418,100<= ... < 500 DM,1<=...<4 years,3,male: single,none,1<...<=2 years,real estate,35,none,rent,1,unskilled - resident,1,Yes,No
Good,> 200 DM,6,critical account,New car,1343,< 100 DM,>=7years,1,male: single,none,>4years,real estate,46,none,own,2,skilled employee / official,2,Yes,No
Good,No checking account,18,existing credits paid back duly till now,New car,2662,unknown/ no savings account,4<=...<7 years,4,male: single,none,2<...<=3 years,savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,Yes,No
Good,No checking account,18,critical account,Radio/Television,6070,< 100 DM,>=7years,3,male: single,none,>4years,car or other,33,none,own,2,skilled employee / official,1,No,Yes
Good,No checking account,24,critical account,Education,1927,unknown/ no savings account,1<=...<4 years,3,female: divorced/separated/married,none,1<...<=2 years,car or other,33,none,own,2,skilled employee / official,1,No,Yes
Good,No checking account,18,critical account,Radio/Television,2404,< 100 DM,1<=...<4 years,2,female: divorced/separated/married,none,1<...<=2 years,car or other,26,none,own,2,skilled employee / official,1,Yes,Yes
Good,No checking account,6,critical account,Radio/Television,1554,< 100 DM,4<=...<7 years,1,female: divorced/separated/married,none,1<...<=2 years,car or other,24,none,rent,2,skilled employee / official,1,No,Yes
Good,No checking account,22,existing credits paid back duly till now,New car,1283,unknown/ no savings account,4<=...<7 years,4,female: divorced/separated/married,none,>4years,savings agreement/ life insurance,25,none,rent,1,skilled employee / official,1,Yes,Yes
Good,No checking account,24,delay in paying off in the past,New car,717,unknown/ no savings account,>=7years,4,male: married/widowed,none,>4years,car or other,54,none,own,2,skilled employee / official,1,No,Yes
Good,< 0 DM,24,existing credits paid back duly till now,Furniture/Equipment,1747,< 100 DM,< 1 year,4,male: single,co-applicant,<= 1 year,savings agreement/ life insurance,24,none,own,1,unskilled - resident,1,Yes,No
Good,< 0 DM,9,critical account,Repairs,1288,100<= ... < 500 DM,>=7years,3,male: single,guarantor,>4years,real estate,48,none,own,2,skilled employee / official,2,Yes,No
Good,< 0 DM,10,critical account,New car,1038,< 100 DM,4<=...<7 years,4,male: single,co-applicant,2<...<=3 years,savings agreement/ life insurance,49,none,own,2,skilled employee / official,1,No,Yes
Good,No checking account,10,existing credits paid back duly till now,Used car,2848,100<= ... < 500 DM,1<=...<4 years,1,male: single,co-applicant,1<...<=2 years,real estate,32,none,own,1,skilled employee / official,2,Yes,Yes
Good,No checking account,12,existing credits paid back duly till now,Used car,1413,=>1000 DM,4<=...<7 years,3,male: single,none,1<...<=2 years,savings agreement/ life insurance,55,none,own,1,skilled employee / official,1,Yes,No
Good,No checking account,30,critical account,Radio/Television,3077,unknown/ no savings account,>=7years,3,male: single,none,1<...<=2 years,car or other,40,none,own,2,skilled employee / official,2,No,Yes
Good,< 0 DM,24,all credits at this bank paid back duly,Used car,3632,< 100 DM,1<=...<4 years,1,female: divorced/separated/married,guarantor,>4years,car or other,22,bank,rent,1,skilled employee / official,1,Yes,No
Good,No checking account,18,critical account,Used car,3229,unknown/ no savings account,unemployed,2,male: single,none,>4years,unknown / no property,38,none,own,1,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,No checking account,9,existing credits paid back duly till now,New car,3577,100<= ... < 500 DM,1<=...<4 years,1,male: single,guarantor,1<...<=2 years,real estate,26,none,rent,1,skilled employee / official,2,Yes,No
Good,No checking account,12,critical account,New car,682,100<= ... < 500 DM,4<=...<7 years,4,female: divorced/separated/married,none,2<...<=3 years,car or other,51,none,own,2,skilled employee / official,1,No,Yes
Good,No checking account,10,existing credits paid back duly till now,Radio/Television,1924,< 100 DM,1<=...<4 years,1,male: single,none,>4years,savings agreement/ life insurance,38,none,own,1,skilled employee / official,1,No,No
Good,No checking account,10,existing credits paid back duly till now,Education,727,500<= ... < 1000 DM,>=7years,4,male: single,none,>4years,unknown / no property,46,none,for free,1,skilled employee / official,1,No,Yes
Good,> 200 DM,10,critical account,New car,781,< 100 DM,>=7years,4,male: single,none,>4years,unknown / no property,63,none,for free,2,skilled employee / official,1,No,Yes
Good,< 0 DM,12,critical account,New car,2121,< 100 DM,1<=...<4 years,4,male: single,none,1<...<=2 years,savings agreement/ life insurance,30,none,own,2,skilled employee / official,1,Yes,Yes
Good,No checking account,12,critical account,Education,701,< 100 DM,1<=...<4 years,4,male: single,none,1<...<=2 years,car or other,32,none,own,2,skilled employee / official,1,Yes,Yes
Good,No checking account,10,critical account,Furniture/Equipment,2069,unknown/ no savings account,1<=...<4 years,2,male: married/widowed,none,<= 1 year,car or other,26,none,own,2,skilled employee / official,1,Yes,No
Good,No checking account,24,existing credits paid back duly till now,New car,1525,=>1000 DM,4<=...<7 years,4,female: divorced/separated/married,none,2<...<=3 years,car or other,34,none,own,1,skilled employee / official,2,No,Yes
Good,No checking account,48,critical account,Business,7629,unknown/ no savings account,>=7years,4,male: divorced/separated,none,1<...<=2 years,car or other,46,bank,own,2,management/ self-employed/highly qualified employee/ officer,2,Yes,Yes
Bad,< 0 DM,12,critical account,New car,3499,< 100 DM,1<=...<4 years,3,female: divorced/separated/married,co-applicant,1<...<=2 years,real estate,29,none,own,2,skilled employee / official,1,Yes,Yes
Good,No checking account,6,existing credits paid back duly till now,Radio/Television,1346,100<= ... < 500 DM,>=7years,2,male: single,none,>4years,unknown / no property,42,bank,for free,1,skilled employee / official,2,No,Yes
Good,No checking account,36,critical account,Used car,10477,unknown/ no savings account,>=7years,2,male: single,none,>4years,unknown / no property,42,none,for free,2,skilled employee / official,1,Yes,Yes
Good,< 0 DM,24,existing credits paid back duly till now,Used car,2924,< 100 DM,1<=...<4 years,3,male: single,guarantor,>4years,unknown / no property,63,bank,own,1,skilled employee / official,2,No,Yes
Good,No checking account,10,critical account,New car,1231,< 100 DM,>=7years,3,male: single,none,>4years,real estate,32,none,own,2,unskilled - resident,2,Yes,No
Good,> 200 DM,18,existing credits paid back duly till now,New car,1961,< 100 DM,>=7years,3,female: divorced/separated/married,none,1<...<=2 years,car or other,23,none,own,1,management/ self-employed/highly qualified employee/ officer,1,Yes,Yes
Good,No checking account,15,critical account,New car,5045,unknown/ no savings account,>=7years,1,female: divorced/separated/married,none,>4years,car or other,59,none,own,1,skilled employee / official,1,No,Yes
Good,No checking account,12,critical account,New car,1255,< 100 DM,>=7years,4,male: single,none,>4years,real estate,61,none,own,2,unskilled - resident,1,Yes,Yes
Good,< 0 DM,12,existing credits paid back duly till now,Furniture/Equipment,1858,< 100 DM,< 1 year,4,female: divorced/separated/married,none,<= 1 year,car or other,22,none,rent,1,skilled employee / official,1,Yes,Yes
Good,No checking account,6,critical account,Furniture/Equipment,1221,unknown/ no savings account,1<=...<4 years,1,male: married/widowed,none,1<...<=2 years,savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,Yes,Yes
Good,No checking account,9,existing credits paid back duly till now,Furniture/Equipment,1388,< 100 DM,1<=...<4 years,4,female: divorced/separated/married,none,1<...<=2 years,real estate,26,none,rent,1,skilled employee / official,1,Yes,Yes
Good,No checking account,12,existing credits paid back duly till now,Radio/Television,2279,unknown/ no savings account,1<=...<4 years,4,male: single,none,>4years,unknown / no property,37,none,for free,1,skilled employee / official,1,No,Yes
Good,No checking account,12,no credits taken,Furniture/Equipment,2759,< 100 DM,>=7years,2,male: single,none,>4years,savings agreement/ life insurance,34,none,own,2,skilled employee / official,1,Yes,Yes
Good,> 200 DM,24,existing credits paid back duly till now,Radio/Television,1258,500<= ... < 1000 DM,1<=...<4 years,3,female: divorced/separated/married,none,2<...<=3 years,car or other,57,none,own,1,unskilled - resident,1,Yes,Yes
Good,0 <=...<200 DM,12,no credits taken,Retraining,1410,< 100 DM,1<=...<4 years,2,male: single,none,1<...<=2 years,real estate,31,none,own,1,unskilled - resident,1,No,Yes
Good,< 0 DM,15,existing credits paid back duly till now,New car,1403,< 100 DM,1<=...<4 years,2,female: divorced/separated/married,none,>4years,car or other,28,none,rent,1,skilled employee / official,1,Yes,Yes
Good,< 0 DM,24,existing credits paid back duly till now,Furniture/Equipment,3021,< 100 DM,1<=...<4 years,2,male: divorced/separated,none,1<...<=2 years,real estate,24,none,rent,1,unskilled - resident,1,Yes,Yes
Good,< 0 DM,24,existing credits paid back duly till now,Business,6568,< 100 DM,1<=...<4 years,2,male: married/widowed,none,1<...<=2 years,car or other,21,stores,own,1,unskilled - resident,1,Yes,Yes
Good,No checking account,24,critical account,Radio/Television,2578,=>1000 DM,>=7years,2,male: single,none,1<...<=2 years,car or other,34,none,own,1,skilled employee / official,1,Yes,Yes
Good,0 <=...<200 DM,24,critical account,Used car,7758,=>1000 DM,>=7years,2,female: divorced/separated/married,none,>4years,unknown / no property,29,none,rent,1,skilled employee / official,1,Yes,Yes
Good,< 0 DM,6,existing credits paid back duly till now,Domestic Appliances,343,< 100 DM,< 1 year,4,female: divorced/separated/married,none,<= 1 year,real estate,27,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,21,delay in paying off in the past,Furniture/Equipment,1591,100<= ... < 500 DM,4<=...<7 years,4,male: single,none,2<...<=3 years,real estate,34,none,own,2,management/ self-employed/highly qualified employee/ officer,1,Yes,Yes
Good,< 0 DM,27,existing credits paid back duly till now,Radio/Television,3416,< 100 DM,1<=...<4 years,3,male: single,none,1<...<=2 years,car or other,27,none,own,1,management/ self-employed/highly qualified employee/ officer,1,Yes,Yes
Bad,< 0 DM,12,no credits taken,Repairs,1108,< 100 DM,4<=...<7 years,4,male: single,none,2<...<=3 years,real estate,28,none,own,2,skilled employee / official,1,Yes,Yes
Good,0 <=...<200 DM,27,delay in paying off in the past,Used car,5965,< 100 DM,>=7years,1,male: single,none,1<...<=2 years,car or other,30,none,own,2,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,0 <=...<200 DM,15,existing credits paid back duly till now,Repairs,1514,100<= ... < 500 DM,1<=...<4 years,4,male: single,guarantor,1<...<=2 years,real estate,22,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,30,critical account,Radio/Television,6742,unknown/ no savings account,4<=...<7 years,2,male: single,none,2<...<=3 years,savings agreement/ life insurance,36,none,own,2,skilled employee / official,1,Yes,Yes
Good,< 0 DM,18,existing credits paid back duly till now,Furniture/Equipment,3650,< 100 DM,< 1 year,1,female: divorced/separated/married,none,>4years,car or other,22,none,rent,1,skilled employee / official,1,Yes,Yes
Good,< 0 DM,21,existing credits paid back duly till now,Furniture/Equipment,3599,< 100 DM,4<=...<7 years,1,female: divorced/separated/married,none,>4years,car or other,26,none,rent,1,unskilled - resident,1,Yes,Yes
Good,No checking account,60,critical account,New car,13756,unknown/ no savings account,>=7years,2,male: single,none,>4years,unknown / no property,63,bank,for free,1,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,0 <=...<200 DM,9,existing credits paid back duly till now,New car,276,< 100 DM,1<=...<4 years,4,male: married/widowed,none,>4years,real estate,22,none,rent,1,unskilled - resident,1,Yes,Yes
Good,No checking account,42,critical account,Furniture/Equipment,4041,500<= ... < 1000 DM,1<=...<4 years,4,male: single,none,>4years,real estate,36,none,own,2,skilled employee / official,1,No,Yes
Good,0 <=...<200 DM,9,existing credits paid back duly till now,Radio/Television,458,< 100 DM,1<=...<4 years,4,male: single,none,2<...<=3 years,real estate,24,none,own,1,skilled employee / official,1,Yes,Yes
Bad,0 <=...<200 DM,9,existing credits paid back duly till now,Furniture/Equipment,918,< 100 DM,1<=...<4 years,4,female: divorced/separated/married,none,<= 1 year,savings agreement/ life insurance,30,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,24,existing credits paid back duly till now,New car,7393,< 100 DM,1<=...<4 years,1,male: single,none,>4years,savings agreement/ life insurance,43,none,own,1,unskilled - resident,2,Yes,Yes
Good,> 200 DM,10,existing credits paid back duly till now,Domestic Appliances,1225,< 100 DM,1<=...<4 years,2,male: single,none,1<...<=2 years,car or other,37,none,own,1,skilled employee / official,1,No,Yes
Good,< 0 DM,24,existing credits paid back duly till now,Used car,2812,unknown/ no savings account,>=7years,2,female: divorced/separated/married,none,>4years,real estate,26,none,rent,1,skilled employee / official,1,Yes,Yes
